Raman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
401.53481,0.02723,0.00616,0.16561,0.00585,0,0,0.00867,0,0.11962,0.0297,0.01314,0.01666,0.01842,0.02372,0.0238,0.02723,0.02949,0.02618,0.00867,0.02678,0.125,0.01011,0.01746,0.02051,0.01854,0.0244,0.04011,0.02549,0.02512,0.09982,0.02051,0.01854,0.17567,0.00759,0.00486,0,0.00867,0,0.11962,0.17717,0.17425,0.18938,0.00511,0.0051,0.0051,0.01248,0.01186,0.01652,1.65E-04,0.00738,0.01474,0.18009,0.17109,0.64342,0.18884,0.16334,0.14344,0,0,0
407.31889,0.02484,0.01964,0.17072,0.01128,0.00166,0.03119,0.01813,0.02277,0.00785,0.02164,0.00932,0.02083,9.06E-04,0,0.00595,0.02484,0.02271,0.01441,0.02207,0.01969,0.13507,0.01137,0.01462,0.0357,9.12E-04,6.93E-03,1.60E-02,2.17E-02,1.34E-02,0.08967,0.0357,9.12E-04,0.18471,0,0,0.00718,0.01813,0.02277,0.00785,0.1761,0.16735,0.18551,0,0,0,0,0,0,0,0.00406,0.00953,0.17902,0.1767,0.64808,0.18777,0.16789,0.15358,0.00477,0.00912,0.01389
413.09912,0.03112,0.03444,0.16339,0.0213,0.02825,0.03825,0.03193,0.04083,0.03658,0.04031,0.03305,0.03707,0.05134,0.05976,0.06575,0.03112,0.02595,0.01706,0.03981,0.04372,0.15278,0.02148,0.02842,0.04216,0.05166,0.06325,0.10426,0.03611,0.06767,0.14641,0.04216,0.05166,0.19317,0.00355,0.00576,0.00971,0.03193,0.04083,0.03658,0.19574,0.19282,0.20742,0.00355,0.00354,0.00871,0.00845,0.00805,0.0026,0.00107,0,0,0.19574,0.18784,0.65167,0.19574,0.16436,0.15563,0.00584,0.01476,0.03832
418.87552,0.03471,0.03151,0.17559,0.0117,0.0187,0.02869,0.0402,0.04715,0.04012,0.02673,0.025,0.04165,0.02265,0.02883,0.0363,0.03471,0.02861,0.02588,0.0402,0.05081,0.16667,0.01179,0.00853,0.02013,0.01671,0.0256,0.03208,0.02251,0.04254,0.18074,0.02013,0.01671,0.23942,0.02466,0.02238,0.03181,0.0402,0.04715,0.04012,0.24601,0.2431,0.25626,0.02466,0.02755,0.02581,0.02946,0.03277,0.03035,0.02224,0.02855,0.03829,0.24601,0.23241,0.66948,0.24601,0.21229,0.19535,0.02691,0.01832,0.04425
424.64809,0.01735,0.02345,0.17803,0.02506,0.02784,0.042,0.01261,0.0157,0.00194,0.01188,0,0,0.01691,0.02252,0.03065,0.01735,0.0174,0.01471,0.01261,0.01575,0.125,0.02527,0.04019,0.06229,0.01094,0.01084,0,0.01189,0.01621,0.12294,0.06229,0.01094,0.21548,0.00363,9.05E-04,0.00245,0.01261,0.0157,0.00194,0.22909,0.21451,0.23982,0.00363,0.00609,0.00362,0.00854,0.01062,0.01274,0.00116,0.00762,0.01474,0.22909,0.21805,0.66474,0.22909,0.20451,0.18753,0.00592,0.04035,0.05245
430.41683,0.00778,0.0022,0.1512,0.01796,0.02077,0.03493,0.02838,0.03149,0.03304,0.02164,0.0178,0.04207,0.00634,0.01471,0.02083,0.00778,0.00265,0.00853,0.02838,0.03545,0.16319,0.01811,0.02517,0.04671,0.00942,0.02139,0.02887,0.01742,0.03363,0.16602,0.04671,0.00942,0.25385,0.05015,0.04979,0.05383,0.02838,0.03149,0.03304,0.25097,0.24222,0.26107,0.05015,0.05543,0.06552,0.05483,0.06014,0.07536,0.04779,0.05604,0.0604,0.25097,0.24042,0.67541,0.25097,0.2198,0.19814,0.05234,0.06307,0.05737
436.18175,0,0,0.15342,0.02423,0.03116,0.04948,0,0.00314,0,0,4.24E-04,0.0125,0,0.00571,0.01517,0,0,0,0,0,0.11424,0.02443,0.03938,0.0828,0,0,0.02326,0,0.00486,0.11664,0.0828,0,0.2476,0.02697,0.02,0.02945,0,0.00314,0,0.24932,0.23823,0.25494,0.02697,0.02516,0.03329,0.03176,0.03509,0.03772,0.02456,0.03398,0.04847,0.24932,0.23775,0.67296,0.24932,0.21266,0.20353,0.02921,0.05295,0.00897
441.94285,0.00509,0.00234,0.15586,0.00585,0.0054,0.01663,0.00552,0.00471,0.01415,0.01188,0.0089,0.02499,0.01359,0.02613,0.02975,0.01706,0.01445,0.01441,0.00552,0.00394,0.13194,0.00169,0.00934,0.0395,0.01064,0.01054,0.04278,0.00765,0,0.10893,0.0395,0.01064,0.28481,0.06186,0.05901,0.02675,0.00552,0.00471,0.01415,0.28112,0.27236,0.29602,0.06186,0.07944,0.0799,0.06648,0.07988,0.08551,0.05953,0.0751,0.09148,0.28112,0.26759,0.68836,0.28112,0.24854,0.23702,0.06402,0.06709,0.0818
447.70015,0.01466,0.01143,0.15851,0.00459,0.01579,0.02994,0.01261,0.01178,0.03225,0.02333,0.025,0.0329,0.01993,0.01982,0.0357,0.01466,0.01445,0.01441,0.01261,0.06302,0.11111,0.00463,0,0.04975,0.02005,0.03494,0.06228,0.02336,0.05551,0.19089,0.04975,0.02005,0.29115,0.06417,0.06872,0.02806,0.01261,0.01178,0.03225,0.28676,0.28092,0.29583,0.06417,0.07212,0.07283,0.07124,0.07997,0.09313,0.06185,0.07007,0.10118,0.28676,0.26823,0.68485,0.28676,0.26226,0.25107,0.06633,0.08085,0.10271
453.45363,0.02573,0.02271,0.16829,0,0.03199,4.17E-04,2.33E-02,2.28E-02,0.0232,0.01527,0.02542,0.03749,0.0154,0.03273,0.04463,0.02573,0.02566,0.02588,0.02326,0.04726,0.15625,0,0.03207,0,0.00942,0.00934,0.03422,0.01529,0.05997,0.20876,0,0.00942,0.27673,0.07192,0.07399,0.08564,0.02326,0.02277,0.0232,0.27985,0.2711,0.28913,0.07192,0.07492,0.085,0.07649,0.08503,0.08819,0.06962,0.08013,0.08924,0.27985,0.27357,0.69792,0.27985,0.2668,0.24447,0.07406,0.06493,0.07024
